geoid,Data File Year,STATE,STATEA,COUNTY,County_Code,CensusTractCode,BlockGroupCode,Estimates: Area Name,Total_Population,White_pop,Black_pop, AmericanIndian_pop,Asian_pop,PacificIslander_pop,OtherRace_pop,EduTotal,Edu_8thGrade,Edu_HighSchoolOrGED,Edu_AssociateDegree,Edu_BachelorDegree,Edu_MasterDegree,Edu_ProfDegree,Edu_DoctorateDegree,Median_HH_Income,PerCapita_Income,Workers_Total,Worked_past_year,Worked_FT_past_year,Did_Not_Work
17003100101001,2006-2010,Illinois,17,Cook County,31,10100,1,"Block Group 1, Census Tract 101, Cook County, Illinois",786,231,318,0,237,0,0,421,0,48,0,86,32,32,0,52679,28732,595,517,357,78
17003100101002,2006-2010,Illinois,17,Cook County,31,10100,2,"Block Group 2, Census Tract 101, Cook County, Illinois",2900,608,2111,0,108,0,27,1606,29,372,275,108,38,12,24,21121,16436,1665,1126,801,539
17003100101003,2006-2010,Illinois,17,Cook County,31,10100,3,"Block Group 3, Census Tract 101, Cook County, Illinois",1617,861,281,0,196,0,42,1148,0,157,25,563,150,36,30,45568,28129,1232,953,773,279
17003100102011,2006-2010,Illinois,17,Cook County,31,10201,1,"Block Group 1, Census Tract 102.01, Cook County, Illinois",1028,253,604,0,46,0,125,717,0,120,103,148,47,0,13,54853,29044,808,577,467,231
17003100102012,2006-2010,Illinois,17,Cook County,31,10201,2,"Block Group 2, Census Tract 102.01, Cook County, Illinois",4206,1243,2052,0,183,0,598,2366,55,685,151,468,170,39,3,39036,19232,2730,2024,1640,706
17003100102013,2006-2010,Illinois,17,Cook County,31,10201,3,"Block Group 3, Census Tract 102.01, Cook County, Illinois",690,420,175,0,83,0,12,586,0,64,15,251,101,0,8,41786,32747,596,528,424,68
17003100102021,2006-2010,Illinois,17,Cook County,31,10202,1,"Block Group 1, Census Tract 102.02, Cook County, Illinois",1431,792,355,0,0,6,214,1166,56,216,67,177,60,30,0,29408,18315,1028,657,469,371
17003100102022,2006-2010,Illinois,17,Cook County,31,10202,2,"Block Group 2, Census Tract 102.02, Cook County, Illinois",1550,555,738,0,61,0,107,959,94,207,39,112,84,15,14,43750,20759,1154,769,629,385
17003100103001,2006-2010,Illinois,17,Cook County,31,10300,1,"Block Group 1, Census Tract 103, Cook County, Illinois",928,750,154,0,0,0,0,818,68,223,9,197,167,0,0,51635,32115,662,518,433,144
17003100103002,2006-2010,Illinois,17,Cook County,31,10300,2,"Block Group 2, Census Tract 103, Cook County, Illinois",2467,1489,498,0,156,0,296,1678,125,334,45,252,123,12,38,43836,17816,1284,936,701,348
17003100103003,2006-2010,Illinois,17,Cook County,31,10300,3,"Block Group 3, Census Tract 103, Cook County, Illinois",1816,820,721,0,160,0,67,1262,101,282,41,119,70,17,31,41042,20817,1143,949,769,194
17003100103004,2006-2010,Illinois,17,Cook County,31,10300,4,"Block Group 4, Census Tract 103, Cook County, Illinois",1264,664,265,0,75,0,248,1080,68,166,38,311,122,0,0,50727,41821,1130,1096,869,34
17003100104001,2006-2010,Illinois,17,Cook County,31,10400,1,"Block Group 1, Census Tract 104, Cook County, Illinois",1238,888,185,0,96,0,41,950,0,208,29,201,151,28,17,68365,32288,927,745,637,182
17003100104002,2006-2010,Illinois,17,Cook County,31,10400,2,"Block Group 2, Census Tract 104, Cook County, Illinois",1171,882,52,0,184,0,14,870,0,104,0,272,181,36,14,55354,33033,969,782,675,187
17003100104003,2006-2010,Illinois,17,Cook County,31,10400,3,"Block Group 3, Census Tract 104, Cook County, Illinois",2242,1529,409,0,161,0,83,897,31,60,84,244,200,0,20,26469,19670,2008,1656,672,352
17003100105011,2006-2010,Illinois,17,Cook County,31,10501,1,"Block Group 1, Census Tract 105.01, Cook County, Illinois",840,494,278,0,20,0,0,700,0,35,28,271,137,66,0,34757,29362,757,700,504,57
17003100105012,2006-2010,Illinois,17,Cook County,31,10501,2,"Block Group 2, Census Tract 105.01, Cook County, Illinois",2337,631,1609,0,97,0,0,1432,0,288,226,365,138,23,0,38347,19068,1732,1176,1004,556
17003100105013,2006-2010,Illinois,17,Cook County,31,10501,3,"Block Group 3, Census Tract 105.01, Cook County, Illinois",961,615,161,0,131,0,29,785,15,133,14,187,96,97,66,21360,28655,658,577,413,81
17003100105021,2006-2010,Illinois,17,Cook County,31,10502,1,"Block Group 1, Census Tract 105.02, Cook County, Illinois",1570,990,242,0,91,0,109,728,0,111,59,186,82,27,10,35893,32296,1293,1034,592,259
17003100105022,2006-2010,Illinois,17,Cook County,31,10502,2,"Block Group 2, Census Tract 105.02, Cook County, Illinois",1724,934,402,31,217,0,0,1319,14,104,48,398,109,34,50,28309,23335,1524,1208,890,316
17003100105031,2006-2010,Illinois,17,Cook County,31,10503,1,"Block Group 1, Census Tract 105.03, Cook County, Illinois",1137,888,155,0,94,0,0,755,14,43,60,157,210,32,0,15583,22965,663,461,246,202
